model,n_params,rank,mag,mag_over_median
pythia-1.4b,1414647808,14,11.806640625,9.907805777496295
pythia-1.4b,1414647808,15,11.56640625,9.706207744306544
pythia-1.4b,1414647808,16,10.92578125,9.168612989133875
pythia-1.4b,1414647808,17,10.0234375,8.41139110837237
pythia-1.4b,1414647808,18,9.826171875,8.245851259980787
pythia-1.4b,1414647808,19,9.4296875,7.913132554797702
pythia-1.4b,1414647808,20,8.9296875,7.493546404419034
pythia-1.4b,1414647808,21,8.8173828125,7.399303421423825
pythia-1.4b,1414647808,22,8.697265625,7.298504404828949
pythia-1.4b,1414647808,23,8.42578125,7.070682237240532
pythia-1.4b,1414647808,24,8.1298828125,6.822372464653156
pythia-1.4b,1414647808,25,7.994140625,6.708461380858947
pythia-1.4b,1414647808,26,7.8671875,6.601925834864363
pythia-1.4b,1414647808,27,7.755859375,6.508502356069113
pythia-1.4b,1414647808,28,7.728515625,6.485556238470279
pythia-1.4b,1414647808,29,7.62109375,6.395410776474862
pythia-1.4b,1414647808,30,7.59765625,6.375742675675862
pythia-1.4b,1414647808,31,7.4150390625,6.222495390283653
pythia-1.4b,1414647808,32,7.173828125,6.020077852893944
pythia-1.4b,1414647808,33,7.154296875,6.003687768894777
pythia-1.4b,1414647808,34,7.130859375,5.984019668095777
pythia-1.4b,1414647808,35,6.591796875,5.531653349718775
pythia-1.4b,1414647808,36,6.3525390625,5.330874820728982
pythia-1.4b,1414647808,37,6.3046875,5.290719114931024
pythia-1.4b,1414647808,38,6.26171875,5.254660930132857
pythia-1.4b,1414647808,39,6.19921875,5.2022126613355235
pythia-1.4b,1414647808,40,6.1181640625,5.134193812738982
pythia-1.4b,1414647808,41,6.046875,5.074370006142023
pythia-1.4b,1414647808,42,6.0380859375,5.066994468342398
pythia-1.4b,1414647808,43,5.9716796875,5.011268182745231
pythia-1.4b,1414647808,44,5.8935546875,4.945707846748564
pythia-1.4b,1414647808,45,5.830078125,4.892440073751272
pythia-1.4b,1414647808,46,5.748046875,4.8236017209547715
pythia-1.4b,1414647808,47,5.74609375,4.821962712554855
pythia-1.4b,1414647808,48,5.712890625,4.794099569756272
pythia-1.4b,1414647808,49,5.5244140625,4.635935259164312
pythia-1.4b,1414647808,50,5.5234375,4.635115754964354
